tweet_id,rag_context_text
3730,[CUSTOMER] Hmm.... Let's take a closer look into what's going on here: ^ML
3731,[CUSTOMER] I'm sorry your account is locked! Please reach out directly to us here: so we can take a closer look. ^TN
3734,"[CUSTOMER] The link ^TN provided will allow you to contact us without signing in! Select ""skip log in"" and you'll be in touch in no time! ^VB"
3735,[CUSTOMER] Hier findest du alle Infos darüber: ^AS
3738,"[CUSTOMER] Du hast die Möglichkeit, Amazon.de Geschenkkarten aus dem stationären Handel für deine Bestellungen einzulösen. Gruß ^DS"
3739,[CUSTOMER] Olá Georgiano. Sinto muito em saber disso. Por favor entre em contato com o nosso SAC no seguinte link: ^JJ
3741,"[CUSTOMER] Not what we like to hear at all, Ramya! Was this shipped by us or a seller? You can check here: ^BL"
3743,[CUSTOMER] ¿Puedes explicarnos bien el inconveniente y mandarnos los detalles en este enlace por favor? ^JJ
3745,"[CUSTOMER] David, te recomendamos no compartir informaciones personales por este medio, te sugerimos editar o eliminar este mensaje. (1/2)"
3747,[CUSTOMER] Have you already tried a restart? Kind regards ^NW
3750,[CUSTOMER] Is this still ongoing? What devices are you using? ^AN
3752,[CUSTOMER] What devices are you using for Amazon Video? ^AN
3754,[CUSTOMER] In this case please contact my colleagues via: They will help you! Regards ^DW
3755,[CUSTOMER] Hi! I just wanted to ask if my colleagues could assist you? Regards ^TA
3757,[CUSTOMER] Changing language is just a simple click: You can reach our support here: ^UK
3758,[CUSTOMER] I'm sorry your parcel wasn't delivered. Please reach us here: so we can look into this with you. ^MO
4787,[CUSTOMER] Oh no! Did we miss the expected delivery date from your confirmation e-mail here: Please let us know. ^KL
4828,[CUSTOMER] I'm sorry for the trouble! Let's go over your available options here: ^LL
4830,[CUSTOMER] Alexa is a free download you will need to set-up your new Amazon Echo! You can learn more here: ^BN
4832,"[CUSTOMER] Uh oh! If you can't recover it, please reach out to us here and we'll see what options are available: ^MB"
4846,"[CUSTOMER] I'm sorry. We can't access your account via Twitter. For assistance, please reach us here: ^WT"
4851,[CUSTOMER] We want our team to investigate this further with you. Please reach out to us using the secure link:
4852,"[CUSTOMER] I'm so sorry for the frustration, Luis. We should absolutely be able to help! Please contact us using the link TN provided. ^SD"
4854,[CUSTOMER] I'm sorry for the challenge signing in. Please use the link from above again so that we can help. Keep us updated! ^MH
4856,[CUSTOMER] Please reach out to us directly here: We'd love to help get you logged in! ^TN
4858,[CUSTOMER] Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE
4860,"[CUSTOMER] Oh no! Have you had a chance to report this to us: If so, what options and insight did we provide? ^GM"
4862,"[CUSTOMER] I'm sorry for the poor experience, Skylar. Were you given a reason for the delay? Check here: ^FD"
4865,"[CUSTOMER] To confirm, what does the latest tracking update show? Please check here: ^BE"
4867,"[CUSTOMER] I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here: ^HM"
4945,"[CUSTOMER] Gracias por la información, Quirino. Por favor, contacta con nuestros colegas de Servicio al Cliente para una atención personalizada y puedan darte información precisa sobre tu paquete. Lo puedes hacer a través del siguiente enlace: ^LC"
4948,[CUSTOMER] ¡Nos alegra saberlo Quirino! Te agradecemos que nos hayas contactado y esperamos que puedas disfrutar de tu compra. Quedamos a tu servicio. ¡Saludos! ^PC
4949,[CUSTOMER] Quirino al ingresar al correo de confirmación de compra te aparecerá un enlace en el cual esta el número de guía de tu pedido. También puedes utilizar la siguiente información para contactar con el transportista: ^PC
4951,"[CUSTOMER] ¡Hola, Quirino! Lamentamos cualquier confusión generada, ¿te has puesto en contacto con el transportista asignado a la entrega? ^LC"
4953,[CUSTOMER] I'm sorry for the frustration! We'd like to investigate and escalate this to the correct team. Please send us your details here: ^JP
4955,"[CUSTOMER] I'm sorry for the ongoing trouble with your deliveries! Have you had a chance to contact us about this: If so, what information or options were we able to offer? ^SB"
4958,[CUSTOMER] Thanks for the additional information. Keep us posted on the arrival of your packages! Let us know if you have any further questions. ^SW
5116,"[CUSTOMER] Thanks for reaching back out to us! If your item is not eligible for replacement, you can still return the item for a full refund instead. You can view your replacement and/or return options here: ^BN"
5118,[CUSTOMER] I'm sorry your items arrived in these conditions. Let's explore your return or replacement options here: ^GG
5120,"[CUSTOMER] I'd like to have a member of our team ensure this is escalated to the correct teams for investigation. When you have a moment, please send us as many details as possible here: ^SB"
5123,"[CUSTOMER] We'd like to make sure this is addressed, Eric. Would you tell us more about what happened? ^AM"
5126,"[CUSTOMER] I understand your frustration! Our team would like a chance to address this concern. At your convenience, include your details here: ^SJ"
5129,[CUSTOMER] I'm truly sorry for the inconvenience! We don't have access to your account via Twitter. We'd like to help if we can. Please connect with us here so we can assist you: ^MO
5130,"[CUSTOMER] I'm so sorry to hear your order was scanned as delivered when it wasn't. We'd like to help if we can. Just to confirm, who's the carrier shown on your order here: ^CC"
5132,"[CUSTOMER] I'm sorry for the frustration! We'd love to help but are unable to access your Amazon account via Twitter. You can view the latest tracking information for your order, including if it has shipped, here: ^LR"
5135,"[CUSTOMER] If you would like to contact our support team via phone, please give us a call so we can review these details with you: 1-866-216-1072. ^WM"
5136,[CUSTOMER] I'm sorry you have received your item! Can you please tell us the intended delivery date stated in your order confirmation e-mail? ^AC
5138,[CUSTOMER] I'm sorry for this wait. Has the tracking information on your order updated: Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you. ^DO
5148,[CUSTOMER] Very strange! Is your friend able to replicate the issue on his app? You might also need to try uninstalling and reinstalling the app. ^JP
5154,"[CUSTOMER] Appreciate your kind words, Dhiraj. Enjoy your weekend. :) ^MK"
5157,[CUSTOMER] You're welcome Dhiraj. :)
5280,"[CUSTOMER] Oh no! I'm sorry to hear your order hasn't arrived! Have you had a chance to contact us about this issue? If so, what options were we able to provide? We want to make sure this issue has been resolved for you! ^BN"
5283,"[CUSTOMER] We'd like to help in any way we can, Juan! I've enabled direct messaging. Without providing personal or account information, please tell us a little more about what's going on. ^FD"
5286,[CUSTOMER] Thanks for the information. We've responded to your DM. ^GG
5289,[CUSTOMER] Kindly reach out our support team here: for more details on account closure. ^MK
5292,[CUSTOMER] Puedes también comunicarte a través del siguiente enlace de contacto para que se revise tu caso: ^PC
5294,"[CUSTOMER] ¡Hola! Lamentamos cualquier molestia ocasionada, ¿puedes contarnos lo sucedido? ^LC"
5297,[CUSTOMER] Hola Val Damon. Puedes hacer una prueba gratuita de Prime Video si nunca lo has usado. Accesa este enlace: ^JJ
5299,[CUSTOMER] Awesome! Enjoy! ^BL
5303,"[CUSTOMER] Please try asking Alexa to stop playing your music, and then ask her to play your music again, but without referencing the ""Multi-Room Music group"" you were previously using: ^JR"
5306,[CUSTOMER] Gotcha- Let us know if you haven't heard back from them on Tuesday. ^BL
5309,[CUSTOMER] Can you tell us when this information was submitted? Account Specialists can take up to 2 business days to investigate an account when the information has been sent. ^EZ
5311,[CUSTOMER] Did information get sent to our Accounts Specialists to look into when you contacted in? ^DO
5313,"[CUSTOMER] Thanks for letting us know about this, Jon. We're here to help! We can be reached 24/7 here: Please do keep us in the loop. ^BL"
5316,[CUSTOMER] Danke :-)
5318,[CUSTOMER] Bei unzustellbaren Sendungen wird gewöhnlich nach Bearbeitung der Retoure eine Erstattung veranlasst. Den Grund können wir von hier aus leider nicht einsehen. Bei Fragen hierzu kannst du dich gerne per E-mail/Telefon an unseren Kundenservice wenden. Schönen Abend ^MH
5320,[CUSTOMER] Listen ad-free with unlimited skips with Music Unlimited. Stream on!! ^RR
5326,"[CUSTOMER] Prime shipping refers to transit time after your orders ship, in working days. Some orders require additional processing and handling. The delivery date shown at checkout is the most accurate. ^LR"
5329,[CUSTOMER] Some deliveries may take slightly longer than usual. You can read more information on here: ^KI
5330,"[CUSTOMER] Hi there, I'm sorry for the delivery troubles! Just to confirm, are you trying to place an order right now, or is this an ongoing issue? Are we missing the promised delivery dates here: ^DW"
5776,"[CUSTOMER] Zainda, nos comentarías, ¿ya entraste en contacto con nuestro Servicio de Atención al Cliente? ^HC"
5780,"[CUSTOMER] Olá, H.o! No momento não temos previsão, mas qualquer novidade será anunciada diretamente no nosso site e redes sociais. ^CR"
5788,[CUSTOMER] Please share your details here: and I'll get in touch with you. 2/2 ^HD
5790,[CUSTOMER] Apologies for this unpleasant experience. I'd like to take a closer look. 1/2 ^HD
5791,[CUSTOMER] (2/2) ... please reach out to us for real-time troubleshooting here: ^WT
5795,"[CUSTOMER] I'm sorry, I see we do have both episodes available. Can you let us know which device you are streaming this on? ^EB"
5794,[CUSTOMER] I'd recommend restarting your Fire Stick by unplugging it from the TV and wall outlet. If that doesn't work... (1/2)
5800,"[CUSTOMER] We know not having service is ruff, but dogs make everything better! 🐶 ^HM"
5802,"[CUSTOMER] Thank YOU, Alisondra, for being one of our amazing customers! ^BE"
5804,[CUSTOMER] I'm sorry for the wait! Please let us know if it does not arrive by 8PM. We want to make sure you receive the order. ^DD
6956,"[CUSTOMER] When you have a moment, please phone us here: ^RR"
6959,"[CUSTOMER] If you follow the link ^RR provided, we'd love to give you a call. ^MH"
6962,[CUSTOMER] Hi there! We are not able to see customer's account information here on Twitter. Please reach out to us by calling 866-216-1072 and keep us updated on the outcome! ^SP
6964,[CUSTOMER] You're welcome. Reach out again if you have questions in the future. We're here to help. ^JF
6965,[CUSTOMER] I am so sorry this has happened. Can you please clarify the carrier for us? We want to assist! You can see that info here: ^BA
8510,"[CUSTOMER] I'm sorry your package wasn't picked up! When you have a moment, reach out to us here: ^AC"
8512,"[CUSTOMER] We're unable to view your account, but we'd like to help in real-time, via phone or chat here: ^NN"
8514,"[CUSTOMER] Hola Mary. Para más detalles sobre como cancelar tu membresía de Amazon Prime, ingresa a: ^HC"
8517,"[CUSTOMER] Mary, si no te has beneficiado de las ventajas de Prime, recibirás el reembolso. Recibirás un e-mail con más detalles. ^LG"
8518,[CUSTOMER] Hola MaryGuerra. Para cancelar Amazon Prime por favor accesa este link para instrucciones: ^JJ
8520,"[CUSTOMER] Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D ^CR"
8523,"[CUSTOMER] Hmm, that's strange! Try going to Settings and reviewing your history. From here, you can see what prompted your Echo. ^FD"
8525,"[CUSTOMER] I'm sorry for the wait, Jamie! What's the current status of your order here: ^SH"
8528,"[CUSTOMER] I understand your concern. At your earliest convenience, : ^GM"
8530,"[CUSTOMER] I can understand your reluctance, but we can provide you with additional options depending on who the seller is. ^SY"
8533,"[CUSTOMER] Hi, is the book listed as sold or fulfilled by Amazon? If so, please get in touch with us via the link ^GM provided. ^TS"
8534,[CUSTOMER] It would be best to contact us directly here: and we can look into this further then. ^PK
8536,"[CUSTOMER] (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: ^WT"
8538,[CUSTOMER] I'm sorry for the wait! Two-Day Shipping refers to transit speed in business days once an order's shipped. (1/2)
8539,[CUSTOMER] Request you to please fill in the details in the link provided earlier and we'll look into this. ^MK
8580,"[CUSTOMER] Hi there, items are not billed to you until they have shipped. If you have been charged for the order already, the refund will reflect on your account within 5-7 business days. You can read more about it here: -RD"
9118,"[CUSTOMER] Without posting account information, could you provide us with a few details about the issue? We'd like to help! ^WM"
9121,"[CUSTOMER] Thanks for the update! I'm sorry about the order issues and your inconvenience, but glad that everything has been resolved. ^SE"
9122,[CUSTOMER] Sorry! Try this one instead: ^TR
9126,[CUSTOMER] Hi Emma. I understand. You can use this link (which doesn't require a log in) to get in touch: ^DC
9128,"[CUSTOMER] We're here to help! Please, reach us phone or e-mail so we can investigate: ^EB"
9130,[CUSTOMER] Oh no! We'd like to review these charges and available options with you. Please reach us here: ^EZ
9133,[CUSTOMER] I'm sorry your order hasn't arrived! Please reach us here: if it doesn't arrive tomorrow. ^EZ
9136,[CUSTOMER] I'm sorry your shipment hasn't arrived; what is the latest status on the order: ^LR
9140,[CUSTOMER] I'm sorry you haven't received your order. Reach out to us here so we can look into this with you: ^JP
9143,[CUSTOMER] You're welcome. Do keep us posted for any further assistance. ^MK
9145,[CUSTOMER] Thank you for providing the details. We are working on it and we'll get back to you soon. ^SY
9764,[CUSTOMER] Please report this to our support team here: and we'll look into this. 2/2 ^HD
9768,"[CUSTOMER] Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^MK"
9769,"[CUSTOMER] Sorry for this ordeal, Benish. Please share your details here: and I'll get in touch with you. ^HD"
9771,[CUSTOMER] Please share your details from the link provided for us to look into your concern and assist you further. (2/2) ^SV
9772,"[CUSTOMER] I get your concern, Benish. As this is a public platform, we wouldn't be able to check your order/account related info. (1/2)^SV"
9774,[CUSTOMER] We haven't received your details. Kindly share your details here: and I'll get in touch soon. ^AK
9776,"[CUSTOMER] Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK"
9777,[CUSTOMER] We've received your details and we'll reach out to you soon. (1/2) ^GK
9778,"[CUSTOMER] Apologies for the delay in delivery of your order, Benish. We'd like to take a closer look. 1/2 ^HD"
9779,"[CUSTOMER] I'm sorry about the damage, Raymond! Have you explored options for refund/replacement here: ^SH"
9782,[CUSTOMER] I understand! Returns can be made as long as they fall under this policy: Hope this helps! ^BL
9783,"[CUSTOMER] Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK"
9785,[CUSTOMER] We've emailed you in response to the details you shared earlier. Please reply on the same for further assistance. 1/2 ^MK
9787,[CUSTOMER] We are always looking for ways to improve! You can provide your feedback to our developers here: ^EA
9789,[CUSTOMER] I'm sorry you didn't receive the correct items! I recommend trying the steps here for wrong items: ^SJ
9792,[CUSTOMER] Please keep us posted if a replacement was provided. We want to ensure you receive the correct phone case. ^EZ
9793,[CUSTOMER] I'm sorry for the bad experience! What options did we offer on the phone? ^TN
9795,"[CUSTOMER] I'm sorry for any trouble, Chris! We're here to help. Are you having trouble with a specific order? ^BL"
9797,"[CUSTOMER] I get your concern, BIgral. I'll share your comments with internal teams for review. Do keep us posted. ^SV"
9800,[CUSTOMER] I just checked and can see that we have sent you an email correspondence. Request you to please check your spam folder. ^MK
9803,"[CUSTOMER] If you haven't received any email, please share your details here: and we'll get back to you. ^HD"
9805,"[CUSTOMER] If you've shared your details in the link, we'll check and get back to you with an update soon. ^MK"
9806,[CUSTOMER] Sorry for the trouble with the order. We've emailed you here: Kindly check and respond. Please 1/2
9809,[CUSTOMER] We would like to investigate further with you. Please reach out to us at your convenience: ^JP
9812,"[CUSTOMER] Oh, no! Without providing personal/account information, could you tell us more about what's going on? ^DG"
9815,[CUSTOMER] I'm sorry it hasn't arrived! We strive to meet the delivery date in your confirmation e-mail. Have we missed that date? ^MO
9818,"[CUSTOMER] (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: ^WT"
9820,[CUSTOMER] I'm sorry for the wait! One-Day shipping refers to transit time in business days once an order's shipped! (1/2)
9822,[CUSTOMER] We are happy that our new selections bring you some comfort. Stay strong Cassandra ^CH
9824,"[CUSTOMER] Olá, Tiago. Atualmente essa opção não está disponível. Qualquer novidade será anunciada no nosso site e redes sociais. ^CR"
9954,[CUSTOMER] Sorry to hear you're having issues with your Fire tablet. Seems to be a bit of an issue with the link above. Please provide info here: so we can look into this for you. ^ES
9956,[CUSTOMER] I'm sorry for this poor experience. Please pass your details to us here: ^RR
9958,[CUSTOMER] I'm so sorry we've let you down; that's never our intent! We'd like to take a closer look into this and explore options with you. Please reach us by phone or chat when you have a moment for direct assistance: ^LL
10320,[CUSTOMER] I'm sorry for any concern this causes! We'd like a chance to look into this with you by phone or chat here: ^WT
10623,[CUSTOMER] I'm sorry about that! I would recommend logging out and clearing cache and cookies. Let us know if that works! ^LM
10625,[CUSTOMER] I'm glad you're enjoying the Oasis! You're welcome to send us feedback with this e-mail: __email__. ^SJ
10627,[CUSTOMER] I'm sorry! Blue Shade isn't a supported feature on child profiles. ^WT
10630,[CUSTOMER] Garcias Jäcob Pintle :). Nos alegra mucho saber que hacemos bien nuestro trabajo. Tratamos de mejorar cada día más. 😃🤝 ^JJ
10632,[CUSTOMER] I'm sorry we let you down! Do you have a current order that has passed the delivery date? ^DD
10635,"[CUSTOMER] What does the current tracking indicate? Also, who does the tracking indicate as carrier?: ^VB"
10638,[CUSTOMER] Hi Mark! Deliveries will run up until 21:00. Let us know what happens. Chuck H
10641,[CUSTOMER] I'm sorry it hasn't arrived! Please get in touch with us here: for available options. ^EZ
10642,[CUSTOMER] Please get in touch with us here: and we'd be happy to review available options with you. ^EZ
10644,[CUSTOMER] We'd like to help! Have you noticed any unauthorized activity on your account? ^VB
10646,"[CUSTOMER] I'm so sorry for the wait. If you have a moment, please contact us by chat or phone: ^LH"
10652,[CUSTOMER] I'm sorry your order hasn't arrived! We'd like to see how we can help so please reach us here: ^DD
10654,[CUSTOMER] Oi Juliana. Qual é a data de entrega do seu pedido? 🤔 ^JJ
10657,[CUSTOMER] I'm sorry to hear about the trouble. We'd like to take a closer look into this for you here: ^LI
10659,"[CUSTOMER] Oh no, Blair! Can you confirm the delivery date that was provided in your order confirmation email? ^LA"
10661,[CUSTOMER] I'm sorry you haven't received your item! Can you tell us who the carrier is? Found here: ^AC
10663,[CUSTOMER] We always strive to get your order to you at the stated expected delivery time that is stated at the time of checkout ^CH
11013,"[CUSTOMER] Yes, Release-Date Delivery is definitely a thing and the Amazon Prime two day shipping does mean two days after processed. ^CN"
11016,[CUSTOMER] I'm sorry for the frustration! Did you select Release-Date Delivery at checkout? ^AC
11018,[CUSTOMER] I'm sorry! We'd love to help where we can. Please give us more details without sharing personal account information. ^LM
11025,[CUSTOMER] We'd still like to help. What does the tracking show in Your Orders: Who is the carrier here? ^SJ
11028,"[CUSTOMER] When you were on the phone with us, did we mention a date as to when we could provide more options? ^TN"
11031,"[CUSTOMER] Hey, Mike! Were the other late items also shipped via USPS? You can check here: ^LA"
11033,[CUSTOMER] I hope you are willing to give us a chance in the future to make things right. ^TN (2/2)
11034,"[CUSTOMER] I'm sorry we let you down on this order. If the order arrives too late, you can return them for a full refund. ^TN (1/2)"
11035,[CUSTOMER] Yikes! We'd like to take a closer look into this. Please reach out with more information here: ^DG
11037,[CUSTOMER] I'm sorry you haven't received an update on your shipping details! You can check your order here: ^MO
11040,[CUSTOMER] Please keep an eye on your e-mails and check your junk/spam folder. We'll let you know once we've confirmed a date. ^NM
11043,"[CUSTOMER] Thanks for reaching out, Gemma! We have responded to your direct message. Please respond to us there! ^HM"
11045,[CUSTOMER] I am so sorry about that! Who was the carrier? You can find that info here: ^BA
11047,[CUSTOMER] Please give us a call here: so we can take a look into this with you! ^TR
11050,[CUSTOMER] Thanks for the information. Please let us know if your order doesn't arrive by Friday. ^EZ
11052,[CUSTOMER] I'm sorry that your package has not shipped! Did we miss the promised Delivery date found here: ^LM
11058,[CUSTOMER] I'm sorry your order hasn't arrived! What is the delivery date shown in the confirmation e-mail: ^SJ
11061,[CUSTOMER] Please get in touch with us here: and we'd be happy to review available shipping refund options. ^EZ
11062,[CUSTOMER] Please try to remove and reinsert the SD card following the steps here: Let us know how this helps! ^MB
11067,[CUSTOMER] Check the SD Card slot and make sure there is no particulate matter which may be effecting how the card is being detected. ^CH
11068,[CUSTOMER] We'd like to try to solve this problem for you! Please contact us here so we can take a closer look: ^CN
11069,"[CUSTOMER] That's odd! We'd like to help further with this. When you can, please reach out to us here: ^HM"
11071,[CUSTOMER] I'm sorry you haven't received your order yet! Have we missed the delivery date confirmed via e-mail: ^GM
11074,[CUSTOMER] We're unable to access accounts on Twitter but we'd like to look into it for you here: ^LI
11077,[CUSTOMER] Oh no! I'm sorry you haven't received your order! Please contact us here so we may look into this: ^BN
11080,[CUSTOMER] We'd still like to help. What is the delivery date shown in the order e-mail: Who is the carrier? ^SJ
